UNIQUE,ID,Name,Description,MEF-IC,mESC-nIC,RAW264.7-IC,mESC-IC,HL-1-IC,HL-1-RBDmap,Enzyme,Metabolism,"""Metabolic.Enzyme"""
Eftud2,ENSMUSG00000020929,Eftud2,elongation factor Tu GTP binding domain containing 2,no,YES,YES,no,YES,no,FALSE,FALSE,FALSE
Ehd1,ENSMUSG00000024772;ENSMUSG00000107039,Ehd1,EH-domain containing 1,no,YES,no,no,no,no,FALSE,FALSE,FALSE
Ehmt2,ENSMUSG00000013787,Ehmt2,euchromatic histone lysine N-methyltransferase 2,no,YES,no,no,no,no,TRUE,FALSE,FALSE
Eif1,ENSMUSG00000035530,Eif1,eukaryotic translation initiation factor 1,no,no,YES,no,no,no,FALSE,FALSE,FALSE
Eif1a,ENSMUSG00000057561,Eif1a,eukaryotic translation initiation factor 1A,YES,no,no,YES,no,no,FALSE,FALSE,FALSE
Eif1ad,ENSMUSG00000024841,Eif1ad,eukaryotic translation initiation factor 1A domain containing,no,no,YES,no,no,no,FALSE,FALSE,FALSE
Eif1ax,ENSMUSG00000067194,Eif1ax,"eukaryotic translation initiation factor 1A, X-linked",no,no,YES,YES,no,no,FALSE,FALSE,FALSE
Eif2a,ENSMUSG00000027810,Eif2a,eukaryotic translation initiation factor 2A,no,YES,YES,no,YES,no,FALSE,FALSE,FALSE
Eif2ak2,ENSMUSG00000024079,Eif2ak2,eukaryotic translation initiation factor 2-alpha kinase 2,no,no,YES,no,no,no,TRUE,FALSE,FALSE
Eif2b3,ENSMUSG00000028683,Eif2b3,"eukaryotic translation initiation factor 2B, subunit 3",no,no,no,no,no,YES,FALSE,FALSE,FALSE
Eif2d,ENSMUSG00000026427,Eif2d,eukaryotic translation initiation factor 2D,no,no,no,YES,YES,no,FALSE,FALSE,FALSE
Eif2s1,ENSMUSG00000021116,Eif2s1,"eukaryotic translation initiation factor 2, subunit 1 alpha",no,YES,YES,YES,YES,no,FALSE,FALSE,FALSE
Eif2s2,ENSMUSG00000074656,Eif2s2,"eukaryotic translation initiation factor 2, subunit 2 (beta)",no,no,YES,no,YES,YES,FALSE,FALSE,FALSE
Eif2s3x,ENSMUSG00000035150,Eif2s3x,"eukaryotic translation initiation factor 2, subunit 3, structural gene X-linked",no,YES,no,no,no,no,FALSE,FALSE,FALSE
Eif3a,ENSMUSG00000024991,Eif3a,"eukaryotic translation initiation factor 3, subunit A",YES,no,YES,YES,YES,YES,FALSE,FALSE,FALSE
Eif3b,ENSMUSG00000056076,Eif3b,"eukaryotic translation initiation factor 3, subunit B",no,YES,no,no,YES,no,FALSE,FALSE,FALSE
Eif3c,ENSMUSG00000030738,Eif3c,"eukaryotic translation initiation factor 3, subunit C",YES,no,YES,YES,YES,YES,FALSE,FALSE,FALSE
Eif3d,ENSMUSG00000016554,Eif3d,"eukaryotic translation initiation factor 3, subunit D",YES,no,YES,YES,YES,no,FALSE,FALSE,FALSE
Eif3e,ENSMUSG00000022336,Eif3e,"eukaryotic translation initiation factor 3, subunit E",no,no,no,YES,YES,no,FALSE,FALSE,FALSE
Eif3g,ENSMUSG00000070319,Eif3g,"eukaryotic translation initiation factor 3, subunit G",YES,no,YES,YES,YES,no,FALSE,FALSE,FALSE
Eif3h,ENSMUSG00000022312,Eif3h,"eukaryotic translation initiation factor 3, subunit H",no,no,no,no,YES,no,FALSE,FALSE,FALSE
Eif3i,ENSMUSG00000028798,Eif3i,"eukaryotic translation initiation factor 3, subunit I",no,YES,no,no,no,YES,FALSE,FALSE,FALSE
Eif3j1,ENSMUSG00000027236,Eif3j1,"eukaryotic translation initiation factor 3, subunit J1",no,no,no,YES,YES,no,FALSE,FALSE,FALSE
Eif3l,ENSMUSG00000033047,Eif3l,"eukaryotic translation initiation factor 3, subunit L",no,no,no,no,YES,no,FALSE,FALSE,FALSE
Eif4a1,ENSMUSG00000059796,Eif4a1,eukaryotic translation initiation factor 4A1,YES,no,YES,YES,YES,no,TRUE,FALSE,FALSE
Eif4a3,ENSMUSG00000025580,Eif4a3,eukaryotic translation initiation factor 4A3,no,YES,no,YES,YES,no,TRUE,FALSE,FALSE
Eif4b,ENSMUSG00000058655,Eif4b,eukaryotic translation initiation factor 4B,YES,no,YES,YES,YES,YES,FALSE,FALSE,FALSE
Eif4e,ENSMUSG00000028156,Eif4e,eukaryotic translation initiation factor 4E,no,no,YES,no,no,no,FALSE,FALSE,FALSE
Eif4e2,ENSMUSG00000026254,Eif4e2,eukaryotic translation initiation factor 4E member 2,no,no,no,no,YES,no,FALSE,FALSE,FALSE
Eif4enif1,ENSMUSG00000020454,Eif4enif1,eukaryotic translation initiation factor 4E nuclear import factor 1,no,no,no,YES,YES,YES,FALSE,FALSE,FALSE
Eif4g1,ENSMUSG00000045983,Eif4g1,"eukaryotic translation initiation factor 4, gamma 1",YES,no,YES,YES,YES,YES,FALSE,FALSE,FALSE
Eif4g2,ENSMUSG00000005610,Eif4g2,"eukaryotic translation initiation factor 4, gamma 2",YES,no,YES,YES,YES,YES,FALSE,FALSE,FALSE
Eif4g3,ENSMUSG00000028760,Eif4g3,"eukaryotic translation initiation factor 4 gamma, 3",no,no,YES,no,YES,no,FALSE,FALSE,FALSE
Eif4h,ENSMUSG00000040731,Eif4h,eukaryotic translation initiation factor 4H,YES,no,YES,YES,YES,YES,FALSE,FALSE,FALSE
Eif5,ENSMUSG00000021282,Eif5,eukaryotic translation initiation factor 5,no,no,no,no,YES,no,FALSE,FALSE,FALSE
Eif5a,ENSMUSG00000078812,Eif5a,eukaryotic translation initiation factor 5A,YES,no,YES,no,no,no,FALSE,FALSE,FALSE
Eif5a2,ENSMUSG00000050192,Eif5a2,eukaryotic translation initiation factor 5A2,no,no,no,YES,YES,no,FALSE,FALSE,FALSE
Eif5b,ENSMUSG00000026083,Eif5b,eukaryotic translation initiation factor 5B,no,no,YES,no,YES,no,TRUE,FALSE,FALSE
Elac2,ENSMUSG00000020549,Elac2,elaC ribonuclease Z 2,no,no,no,YES,YES,YES,TRUE,FALSE,FALSE
Elavl1,ENSMUSG00000040028,Elavl1,"ELAV (embryonic lethal, abnormal vision)-like 1 (Hu antigen R)",YES,YES,YES,YES,YES,YES,FALSE,FALSE,FALSE
Elavl2,ENSMUSG00000008489,Elavl2,"ELAV (embryonic lethal, abnormal vision, Drosophila)-like 2 (Hu antigen B)",YES,no,no,YES,YES,no,FALSE,FALSE,FALSE
Elavl3,ENSMUSG00000003410,Elavl3,"ELAV (embryonic lethal, abnormal vision, Drosophila)-like 3 (Hu antigen C)",no,no,no,YES,no,no,FALSE,FALSE,FALSE
Elavl4,ENSMUSG00000028546,Elavl4,"ELAV (embryonic lethal, abnormal vision, Drosophila)-like 4 (Hu antigen D)",no,no,YES,YES,no,no,FALSE,FALSE,FALSE
Elmsan1,ENSMUSG00000042507,Elmsan1,ELM2 and Myb/SANT-like domain containing 1,no,YES,no,no,no,no,FALSE,FALSE,FALSE
Elp2,ENSMUSG00000024271,Elp2,elongator acetyltransferase complex subunit 2,no,YES,no,no,no,no,FALSE,FALSE,FALSE
Emc1,ENSMUSG00000078517,Emc1,ER membrane protein complex subunit 1,no,no,no,no,YES,no,FALSE,FALSE,FALSE
Emd,ENSMUSG00000001964,Emd,emerin,no,no,no,no,YES,no,FALSE,FALSE,FALSE
Emg1,ENSMUSG00000004268,Emg1,EMG1 N1-specific pseudouridine methyltransferase,no,YES,no,YES,YES,no,FALSE,FALSE,FALSE
Emsy,ENSMUSG00000035401,Emsy,"EMSY, BRCA2-interacting transcriptional repressor",no,YES,no,no,no,no,FALSE,FALSE,FALSE
Eno1,ENSMUSG00000063524,Eno1,"enolase 1, alpha non-neuron",no,no,YES,no,YES,no,TRUE,TRUE,TRUE
Eno1b,ENSMUSG00000059040,Eno1b,"enolase 1B, retrotransposed",no,no,no,YES,no,no,TRUE,TRUE,TRUE
Enox1,ENSMUSG00000022012,Enox1,ecto-NOX disulfide-thiol exchanger 1,no,no,no,YES,no,no,FALSE,FALSE,FALSE
Eny2,ENSMUSG00000022338,Eny2,enhancer of yellow 2 homolog (Drosophila),no,YES,no,no,no,no,FALSE,FALSE,FALSE
Ep400,ENSMUSG00000029505,Ep400,E1A binding protein p400,no,YES,no,no,no,no,FALSE,FALSE,FALSE
Epb41l2,ENSMUSG00000019978,Epb41l2,erythrocyte membrane protein band 4.1 like 2,no,YES,no,no,no,no,FALSE,FALSE,FALSE
Ephb3,ENSMUSG00000005958,Ephb3,Eph receptor B3,no,YES,no,no,no,no,TRUE,FALSE,FALSE
Eprs,ENSMUSG00000026615,Eprs,glutamyl-prolyl-tRNA synthetase,no,no,no,no,YES,YES,TRUE,FALSE,FALSE
Eps15l1,ENSMUSG00000006276,Eps15l1,epidermal growth factor receptor pathway substrate 15-like 1,no,YES,no,no,no,no,FALSE,FALSE,FALSE
Eral1,ENSMUSG00000020832,Eral1,Era (G-protein)-like 1 (E. coli),no,no,no,YES,YES,no,FALSE,FALSE,FALSE
Ercc2,ENSMUSG00000030400,Ercc2,"excision repair cross-complementing rodent repair deficiency, complementation group 2",no,YES,no,no,no,no,TRUE,FALSE,FALSE
Ergic1,ENSMUSG00000001576,Ergic1,endoplasmic reticulum-golgi intermediate compartment (ERGIC) 1,no,no,no,no,YES,no,FALSE,FALSE,FALSE
Eri1,ENSMUSG00000031527,Eri1,exoribonuclease 1,no,no,no,no,YES,no,FALSE,FALSE,FALSE
Ermp1,ENSMUSG00000046324,Ermp1,endoplasmic reticulum metallopeptidase 1,no,no,no,no,YES,no,FALSE,FALSE,FALSE
Erp29,ENSMUSG00000029616,Erp29,endoplasmic reticulum protein 29,no,YES,YES,no,no,no,FALSE,FALSE,FALSE
Esco2,ENSMUSG00000022034,Esco2,establishment of sister chromatid cohesion N-acetyltransferase 2,no,YES,no,no,no,no,FALSE,FALSE,FALSE
Esf1,ENSMUSG00000045624,Esf1,ESF1 nucleolar pre-rRNA processing protein homolog,no,no,YES,YES,YES,no,FALSE,FALSE,FALSE
Esrp1,ENSMUSG00000040728,Esrp1,epithelial splicing regulatory protein 1,no,no,no,YES,no,no,FALSE,FALSE,FALSE
Esrp2,ENSMUSG00000084128,Esrp2,epithelial splicing regulatory protein 2,no,no,no,YES,no,no,FALSE,FALSE,FALSE
Esyt1,ENSMUSG00000025366,Esyt1,extended synaptotagmin-like protein 1,no,YES,no,no,no,no,FALSE,TRUE,FALSE
Etf1,ENSMUSG00000024360,Etf1,eukaryotic translation termination factor 1,no,no,YES,YES,YES,no,FALSE,FALSE,FALSE
Etfa,ENSMUSG00000032314,Etfa,"electron transferring flavoprotein, alpha polypeptide",no,no,no,no,no,YES,FALSE,TRUE,FALSE
Etfb,ENSMUSG00000004610,Etfb,"electron transferring flavoprotein, beta polypeptide",no,no,no,no,no,YES,FALSE,TRUE,FALSE
Etl4,ENSMUSG00000036617,Etl4,enhancer trap locus 4,no,YES,no,no,no,no,FALSE,FALSE,FALSE
Ewsr1,ENSMUSG00000009079,Ewsr1,Ewing sarcoma breakpoint region 1,YES,no,YES,YES,YES,no,FALSE,FALSE,FALSE
Exd2,ENSMUSG00000032705,Exd2,exonuclease 3'-5' domain containing 2,no,no,no,no,YES,no,TRUE,FALSE,FALSE
Exosc1,ENSMUSG00000034321,Exosc1,exosome component 1,no,no,YES,YES,no,no,FALSE,FALSE,FALSE
Exosc10,ENSMUSG00000017264,Exosc10,exosome component 10,no,YES,no,no,YES,no,FALSE,FALSE,FALSE
Exosc2,ENSMUSG00000039356,Exosc2,exosome component 2,no,no,no,YES,no,no,FALSE,FALSE,FALSE
Exosc4,ENSMUSG00000034259,Exosc4,exosome component 4,no,no,YES,YES,YES,no,FALSE,FALSE,FALSE
Exosc7,ENSMUSG00000025785,Exosc7,exosome component 7,no,YES,no,no,no,no,FALSE,FALSE,FALSE
Exosc8,ENSMUSG00000027752,Exosc8,exosome component 8,no,YES,no,no,no,no,FALSE,FALSE,FALSE
Exosc9,ENSMUSG00000027714,Exosc9,exosome component 9,no,no,YES,YES,no,no,FALSE,FALSE,FALSE
Ezh2,ENSMUSG00000029687,Ezh2,enhancer of zeste 2 polycomb repressive complex 2 subunit,no,YES,no,no,no,no,TRUE,FALSE,FALSE
Ezr,ENSMUSG00000052397,Ezr,ezrin,no,YES,no,YES,no,YES,FALSE,FALSE,FALSE
Fabp5,ENSMUSG00000027533,Fabp5,"fatty acid binding protein 5, epidermal",YES,no,no,no,no,no,FALSE,TRUE,FALSE
Fads2,ENSMUSG00000024665,Fads2,fatty acid desaturase 2,no,no,no,no,YES,no,FALSE,TRUE,FALSE
Fam103a1,ENSMUSG00000038646,Fam103a1,"family with sequence similarity 103, member A1",no,no,YES,no,no,no,FALSE,FALSE,FALSE
Fam120a,ENSMUSG00000038014,Fam120a,"family with sequence similarity 120, member A",YES,no,YES,YES,YES,YES,FALSE,FALSE,FALSE
Fam120c,ENSMUSG00000025262,Fam120c,"family with sequence similarity 120, member C",YES,no,no,no,YES,no,FALSE,FALSE,FALSE
Fam133b,ENSMUSG00000058503,Fam133b,"family with sequence similarity 133, member B",no,no,YES,no,no,no,FALSE,FALSE,FALSE
Fam179b,ENSMUSG00000035614,Fam179b,"family with sequence similarity 179, member B",no,no,YES,no,no,no,FALSE,FALSE,FALSE
Fam193a,ENSMUSG00000037210,Fam193a,"family with sequence similarity 193, member A",no,no,no,no,YES,no,FALSE,FALSE,FALSE
Fam195a,ENSMUSG00000025732,Fam195a,"family with sequence similarity 195, member A",no,no,no,no,YES,no,FALSE,FALSE,FALSE
Fam206a,ENSMUSG00000038827,Fam206a,"family with sequence similarity 206, member A",no,no,YES,no,no,no,FALSE,FALSE,FALSE
Fam207a,ENSMUSG00000032977,Fam207a,"family with sequence similarity 207, member A",no,no,no,YES,no,no,FALSE,FALSE,FALSE
Fam208a,ENSMUSG00000040651,Fam208a,"family with sequence similarity 208, member A",no,no,no,no,YES,no,FALSE,FALSE,FALSE
Fam32a,ENSMUSG00000003039,Fam32a,"family with sequence similarity 32, member A",no,no,YES,no,no,no,FALSE,FALSE,FALSE
Fam50a,ENSMUSG00000001962,Fam50a,"family with sequence similarity 50, member A",no,no,YES,no,YES,no,FALSE,FALSE,FALSE
Fam60a,ENSMUSG00000039985,Fam60a,"family with sequence similarity 60, member A",no,YES,no,no,no,no,FALSE,FALSE,FALSE
Fam98a,ENSMUSG00000002017,Fam98a,"family with sequence similarity 98, member A",YES,no,YES,no,YES,no,FALSE,FALSE,FALSE
Fam98b,ENSMUSG00000027349,Fam98b,"family with sequence similarity 98, member B",no,no,YES,YES,YES,no,FALSE,FALSE,FALSE
Farsb,ENSMUSG00000026245,Farsb,"phenylalanyl-tRNA synthetase, beta subunit",no,no,no,YES,YES,no,TRUE,FALSE,FALSE
Fasn,ENSMUSG00000025153,Fasn,fatty acid synthase,no,no,no,no,YES,no,TRUE,TRUE,TRUE
Fastkd2,ENSMUSG00000025962,Fastkd2,FAST kinase domains 2,YES,no,YES,YES,YES,no,FALSE,FALSE,FALSE
Fau,ENSMUSG00000038274,Fau,Finkel-Biskis-Reilly murine sarcoma virus (FBR-MuSV) ubiquitously expressed (fox derived),YES,no,YES,no,YES,YES,FALSE,FALSE,FALSE
Fbl,ENSMUSG00000046865,Fbl,fibrillarin,YES,YES,YES,YES,YES,no,FALSE,FALSE,FALSE
Fbll1,ENSMUSG00000051062,Fbll1,fibrillarin-like 1,YES,no,YES,no,YES,no,FALSE,FALSE,FALSE
Fbn1,ENSMUSG00000027204,Fbn1,fibrillin 1,YES,no,no,no,no,no,FALSE,FALSE,FALSE
Fbxo11,ENSMUSG00000005371,Fbxo11,F-box protein 11,no,YES,no,no,no,no,FALSE,FALSE,FALSE
Fbxw11,ENSMUSG00000020271,Fbxw11,F-box and WD-40 domain protein 11,no,YES,no,no,no,no,FALSE,FALSE,FALSE
Fech,ENSMUSG00000024588,Fech,ferrochelatase,no,YES,no,no,no,no,FALSE,TRUE,FALSE
Fhl1,ENSMUSG00000023092,Fhl1,four and a half LIM domains 1,no,no,no,no,YES,no,FALSE,FALSE,FALSE
Fip1l1,ENSMUSG00000029227,Fip1l1,FIP1 like 1 (S. cerevisiae),no,YES,YES,YES,YES,no,FALSE,FALSE,FALSE
Fkbp15,ENSMUSG00000066151,Fkbp15,FK506 binding protein 15,no,no,no,no,no,YES,FALSE,FALSE,FALSE
Fkbp1a,ENSMUSG00000032966,Fkbp1a,FK506 binding protein 1a,no,no,YES,no,no,YES,TRUE,FALSE,FALSE
Fkbp2,ENSMUSG00000056629,Fkbp2,FK506 binding protein 2,no,no,no,no,no,YES,TRUE,FALSE,FALSE
Fkbp3,ENSMUSG00000020949,Fkbp3,FK506 binding protein 3,YES,no,YES,no,no,YES,TRUE,FALSE,FALSE
Flna,ENSMUSG00000031328,Flna,"filamin, alpha",no,YES,YES,YES,YES,YES,FALSE,FALSE,FALSE
Flnb,ENSMUSG00000025278,Flnb,"filamin, beta",no,YES,YES,no,no,YES,FALSE,FALSE,FALSE
Flnc,ENSMUSG00000068699,Flnc,"filamin C, gamma",YES,no,no,no,YES,YES,FALSE,FALSE,FALSE
Flot2,ENSMUSG00000061981,Flot2,flotillin 2,no,YES,no,no,no,no,FALSE,FALSE,FALSE
Fmr1,ENSMUSG00000000838,Fmr1,fragile X mental retardation syndrome 1,YES,no,YES,YES,YES,YES,FALSE,FALSE,FALSE
Fn1,ENSMUSG00000026193,Fn1,fibronectin 1,YES,YES,no,no,no,no,FALSE,FALSE,FALSE
Fndc3b,ENSMUSG00000039286,Fndc3b,fibronectin type III domain containing 3B,YES,no,no,no,YES,no,FALSE,FALSE,FALSE
Foxk1,ENSMUSG00000056493,Foxk1,forkhead box K1,no,YES,no,no,no,no,FALSE,FALSE,FALSE
Foxp4,ENSMUSG00000023991,Foxp4,forkhead box P4,no,YES,no,no,no,no,FALSE,FALSE,FALSE
Frg1,ENSMUSG00000031590,Frg1,FSHD region gene 1,no,no,YES,YES,no,no,FALSE,FALSE,FALSE
Ftsj3,ENSMUSG00000020706,Ftsj3,FtsJ RNA methyltransferase homolog 3 (E. coli),no,no,YES,no,YES,no,FALSE,FALSE,FALSE
Fubp1,ENSMUSG00000028034,Fubp1,far upstream element (FUSE) binding protein 1,YES,YES,YES,YES,YES,no,FALSE,FALSE,FALSE
Fubp3,ENSMUSG00000026843,Fubp3,far upstream element (FUSE) binding protein 3,YES,YES,YES,YES,YES,YES,FALSE,FALSE,FALSE
Fus,ENSMUSG00000030795,Fus,fused in sarcoma,no,YES,no,YES,YES,no,FALSE,FALSE,FALSE
Fxr1,ENSMUSG00000027680,Fxr1,"fragile X mental retardation gene 1, autosomal homolog",YES,no,YES,YES,YES,YES,FALSE,FALSE,FALSE
Fxr2,ENSMUSG00000018765,Fxr2,"fragile X mental retardation, autosomal homolog 2",no,no,YES,YES,YES,YES,FALSE,FALSE,FALSE
Fyttd1,ENSMUSG00000022800,Fyttd1,forty-two-three domain containing 1,no,no,YES,YES,YES,no,FALSE,FALSE,FALSE
G3bp1,ENSMUSG00000018583,G3bp1,GTPase activating protein (SH3 domain) binding protein 1,YES,no,YES,YES,no,no,TRUE,FALSE,FALSE
G3bp2,ENSMUSG00000029405,G3bp2,GTPase activating protein (SH3 domain) binding protein 2,YES,YES,YES,YES,YES,no,FALSE,FALSE,FALSE
Galnt1,ENSMUSG00000000420,Galnt1,UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 1,no,YES,no,no,no,no,TRUE,FALSE,FALSE
Ganab,ENSMUSG00000071650,Ganab,alpha glucosidase 2 alpha neutral subunit,no,no,no,no,YES,no,TRUE,FALSE,FALSE
Gapdh,ENSMUSG00000057666,Gapdh,glyceraldehyde-3-phosphate dehydrogenase,no,no,no,no,YES,no,TRUE,FALSE,FALSE
Gar1,ENSMUSG00000028010,Gar1,GAR1 ribonucleoprotein,no,no,YES,YES,YES,no,FALSE,FALSE,FALSE
Gars,ENSMUSG00000029777,Gars,glycyl-tRNA synthetase,no,no,no,no,no,YES,TRUE,FALSE,FALSE
Gas2,ENSMUSG00000030498,Gas2,growth arrest specific 2,no,no,no,no,no,YES,FALSE,FALSE,FALSE
Gatad2a,ENSMUSG00000036180,Gatad2a,GATA zinc finger domain containing 2A,no,YES,no,no,no,no,FALSE,FALSE,FALSE
Gatad2b,ENSMUSG00000042390,Gatad2b,GATA zinc finger domain containing 2B,no,YES,no,no,no,no,FALSE,FALSE,FALSE
Gatm,ENSMUSG00000027199,Gatm,glycine amidinotransferase (L-arginine:glycine amidinotransferase),no,no,no,no,no,YES,TRUE,TRUE,TRUE
Gclm,ENSMUSG00000028124,Gclm,"glutamate-cysteine ligase, modifier subunit",no,no,YES,no,no,no,FALSE,TRUE,FALSE
Gcn1l1,ENSMUSG00000041638,Gcn1l1,GCN1 general control of amino-acid synthesis 1-like 1 (yeast),no,no,no,YES,YES,no,FALSE,FALSE,FALSE
Gdi2,ENSMUSG00000021218,Gdi2,guanosine diphosphate (GDP) dissociation inhibitor 2,no,no,YES,YES,no,no,FALSE,FALSE,FALSE
Gemin4,ENSMUSG00000049396,Gemin4,gem (nuclear organelle) associated protein 4,no,no,no,no,YES,no,FALSE,FALSE,FALSE
Gemin5,ENSMUSG00000037275,Gemin5,gem (nuclear organelle) associated protein 5,no,no,YES,no,no,no,FALSE,FALSE,FALSE
Gfm1,ENSMUSG00000027774,Gfm1,"G elongation factor, mitochondrial 1",no,no,no,no,YES,no,FALSE,FALSE,FALSE
Gigyf1,ENSMUSG00000029714,Gigyf1,GRB10 interacting GYF protein 1,no,no,no,no,YES,YES,FALSE,FALSE,FALSE
Gigyf2,ENSMUSG00000048000,Gigyf2,GRB10 interacting GYF protein 2,no,no,no,no,YES,no,FALSE,FALSE,FALSE
Glg1,ENSMUSG00000003316,Glg1,golgi apparatus protein 1,no,YES,no,no,no,no,FALSE,FALSE,FALSE
Gltscr2,ENSMUSG00000041560,Gltscr2,glioma tumor suppressor candidate region gene 2,no,YES,YES,YES,YES,no,FALSE,FALSE,FALSE
Glud1,ENSMUSG00000021794,Glud1,glutamate dehydrogenase 1,no,no,no,no,YES,no,TRUE,TRUE,TRUE
Glyr1,ENSMUSG00000022536,Glyr1,glyoxylate reductase 1 homolog (Arabidopsis),no,YES,no,no,no,no,FALSE,FALSE,FALSE
Gm10036,ENSMUSG00000058064,Gm10036,predicted gene 10036,no,no,no,YES,YES,no,FALSE,FALSE,FALSE
Gm10053,ENSMUSG00000058927,Gm10053,predicted gene 10053,no,no,no,no,YES,no,FALSE,TRUE,TRUE
Gm10123,ENSMUSG00000062933,Gm10123,predicted pseudogene 10123,no,no,no,no,YES,no,FALSE,FALSE,FALSE
Gm10250,ENSMUSG00000068706,Gm10250,predicted pseudogene 10250,no,YES,no,no,no,no,FALSE,TRUE,FALSE
Gm10439,ENSMUSG00000072923,Gm10439,predicted gene 10439,no,no,no,no,YES,no,FALSE,FALSE,FALSE
Gm12666,ENSMUSG00000066107,Gm12666,predicted gene 12666,no,no,YES,no,no,no,FALSE,FALSE,FALSE
Gm20425,ENSMUSG00000090639,Gm20425,predicted gene 20425,no,YES,no,no,no,no,FALSE,FALSE,FALSE
Gm21992,ENSMUSG00000096370,Gm21992,predicted gene 21992,YES,YES,no,no,no,no,FALSE,FALSE,FALSE
Gm2663,ENSMUSG00000096525,Gm2663,predicted gene 2663,YES,no,no,no,no,no,FALSE,FALSE,FALSE
Gm42715,ENSMUSG00000107023,Gm42715,predicted gene 42715,no,YES,no,no,no,no,FALSE,FALSE,FALSE
Gm5045,ENSMUSG00000025922,Gm5045,predicted gene 5045,no,no,no,YES,no,no,FALSE,FALSE,FALSE
Gm5096,ENSMUSG00000069324,Gm5096,predicted gene 5096,no,no,no,no,no,YES,TRUE,TRUE,TRUE
Gm5215,ENSMUSG00000050978,Gm5215,predicted gene 5215,no,no,no,YES,no,no,FALSE,FALSE,FALSE
Gm6180,ENSMUSG00000053038,Gm6180,predicted pseudogene 6180,no,no,no,YES,no,no,FALSE,FALSE,FALSE
Gm6563,ENSMUSG00000051255,Gm6563,predicted pseudogene 6563,no,no,no,no,YES,YES,FALSE,FALSE,FALSE
Gm8730,ENSMUSG00000063696,Gm8730,predicted pseudogene 8730,no,no,no,no,YES,no,FALSE,FALSE,FALSE
Gm8994,ENSMUSG00000094973,Gm8994,predicted gene 8994,no,no,YES,no,no,no,FALSE,FALSE,FALSE
Gm9234,ENSMUSG00000058050,Gm9234,predicted pseudogene 9234,no,no,no,YES,no,no,FALSE,FALSE,FALSE
Gm9493,ENSMUSG00000044424,Gm9493,predicted gene 9493,no,no,no,no,YES,no,FALSE,FALSE,FALSE
Gm9755,ENSMUSG00000030735,Gm9755,predicted pseudogene 9755,no,no,no,no,YES,no,FALSE,FALSE,FALSE
Gnai2,ENSMUSG00000032562,Gnai2,"guanine nucleotide binding protein (G protein), alpha inhibiting 2",no,YES,no,no,no,no,FALSE,TRUE,FALSE
Gne,ENSMUSG00000028479,Gne,glucosamine (UDP-N-acetyl)-2-epimerase/N-acetylmannosamine kinase,no,no,no,no,no,YES,TRUE,FALSE,FALSE
Gnl2,ENSMUSG00000028869,Gnl2,guanine nucleotide binding protein-like 2 (nucleolar),no,no,YES,YES,YES,no,FALSE,FALSE,FALSE
Gnl3,ENSMUSG00000042354,Gnl3,guanine nucleotide binding protein-like 3 (nucleolar),no,YES,YES,YES,YES,no,FALSE,FALSE,FALSE
Gnl3l,ENSMUSG00000025266,Gnl3l,guanine nucleotide binding protein-like 3 (nucleolar)-like,no,YES,no,YES,no,no,FALSE,FALSE,FALSE
Golph3l,ENSMUSG00000046519,Golph3l,golgi phosphoprotein 3-like,no,no,no,no,no,YES,FALSE,FALSE,FALSE
Got2,ENSMUSG00000031672,Got2,"glutamatic-oxaloacetic transaminase 2, mitochondrial",no,no,no,no,YES,YES,TRUE,TRUE,TRUE
Gpatch4,ENSMUSG00000028069,Gpatch4,G patch domain containing 4,no,no,YES,no,no,no,FALSE,FALSE,FALSE
Gpbp1,ENSMUSG00000032745,Gpbp1,GC-rich promoter binding protein 1,no,no,no,no,YES,no,FALSE,FALSE,FALSE
Gphn,ENSMUSG00000047454,Gphn,gephyrin,no,no,no,no,no,YES,TRUE,TRUE,TRUE
Gpi1,ENSMUSG00000036427,Gpi1,glucose phosphate isomerase 1,no,no,no,no,YES,no,TRUE,TRUE,TRUE
Gps1,ENSMUSG00000025156,Gps1,G protein pathway suppressor 1,no,no,no,no,no,YES,FALSE,FALSE,FALSE
Gpx4,ENSMUSG00000075706,Gpx4,glutathione peroxidase 4,no,no,no,YES,YES,no,TRUE,TRUE,TRUE
Grb2,ENSMUSG00000059923,Grb2,growth factor receptor bound protein 2,no,no,YES,no,no,no,FALSE,FALSE,FALSE
Grn,ENSMUSG00000034708,Grn,granulin,no,no,YES,no,no,no,FALSE,FALSE,FALSE
Grsf1,ENSMUSG00000044221,Grsf1,G-rich RNA sequence binding factor 1,YES,no,YES,YES,YES,YES,FALSE,FALSE,FALSE
Grwd1,ENSMUSG00000053801,Grwd1,glutamate-rich WD repeat containing 1,no,no,YES,YES,YES,no,FALSE,FALSE,FALSE
Gspt1,ENSMUSG00000062203,Gspt1,G1 to S phase transition 1,no,no,YES,YES,YES,no,FALSE,FALSE,FALSE
Gtf2f1,ENSMUSG00000002658,Gtf2f1,"general transcription factor IIF, polypeptide 1",no,no,no,YES,no,YES,FALSE,FALSE,FALSE
Gtf2h4,ENSMUSG00000001524,Gtf2h4,"general transcription factor II H, polypeptide 4",no,no,no,no,YES,no,FALSE,FALSE,FALSE
Gtf2i,ENSMUSG00000060261,Gtf2i,general transcription factor II I,no,YES,no,no,YES,no,FALSE,FALSE,FALSE
