EnsenbleProteinID,EnsenbleGeneID,Name,Type,RefSeqGeneID,RefSeqProteinID
ENSP00000295727,ENSG00000163497,FEV,ETS,NM_017521,NP_059991
ENSP00000295886,ENSG00000163623,NKX6-1,Homeobox,,NP_006159
ENSP00000295934,ENSG00000163666,HESX1,Homeobox,NM_001376059,NP_003856
ENSP00000296096,ENSG00000163792,TCF23,bHLH,NM_175769,NP_786951
ENSP00000296233,ENSG00000163884,KLF15,zf-C2H2,NM_014079,NP_054798
ENSP00000296302,ENSG00000163939,PBRM1,HMG,,NP_001353000
ENSP00000296503,ENSG00000164104,HMGB2,HMG,NM_002129,NP_002120; NP_001124160
ENSP00000296682,ENSG00000164256,PRDM9,zf-C2H2,,NP_001297143; NP_064612; NP_001363829
ENSP00000296839,ENSG00000164379,FOXQ1,Fork_head,NM_033260,NP_150285
ENSP00000296921,ENSG00000164438,TLX3,Homeobox,NM_021025,NP_066305
ENSP00000296946,ENSG00000164458,TBXT,T-box,NM_001366286,NP_003172
ENSP00000296953,ENSG00000164463,CREBRF,TF_others,NM_001168394,NP_705835
ENSP00000297142,ENSG00000164600,NEUROD6,bHLH,NM_022728,NP_073565
ENSP00000297316,ENSG00000164736,SOX17,HMG,NM_022454,NP_071899
ENSP00000297375,ENSG00000164778,EN2,Homeobox,NM_001427,NP_001418
ENSP00000297537,ENSG00000164900,GBX1,Homeobox,NM_001098834,NP_001092304
ENSP00000297689,ENSG00000165030,NFIL3,TF_bZIP,NM_001290000,NP_001276928; NP_001276929; NP_005375
ENSP00000297977,ENSG00000165259,HDX,Homeobox,NM_144657,NP_653258
ENSP00000298231,ENSG00000165462,PHOX2A,Homeobox,,NP_005160
ENSP00000298282,ENSG00000165495,PKNOX2,Homeobox,,NP_001369257; NP_001369262; NP_001369267; NP_001369268; NP_001369270; NP_001369265; NP_001369266; NP_001369252; NP_001369259; NP_001369260; NP_001369261; NP_001369263; NP_001369254; NP_001369255; NP_001369256; NP_001369264; NP_001369269; NP_001369253; NP_001369258
ENSP00000298299,ENSG00000165512,ZNF22,zf-C2H2,NM_006963,NP_008894
ENSP00000298532,ENSG00000165684,SNAPC4,MYB,NM_003086,NP_003077
ENSP00000299162,ENSG00000139445,FOXN4,Fork_head,NM_213596,NP_998761
ENSP00000299237,ENSG00000166188,ZNF319,zf-C2H2,NM_001384365,NP_001371294; NP_001371295; NP_065858; NP_001371296
ENSP00000299440,ENSG00000166349,RAG1,TF_others,,NP_001364208; NP_001364209; NP_001364206; NP_000439; NP_001364207
ENSP00000299667,ENSG00000166526,ZNF3,zf-C2H2,NM_001318137,NP_001265216; NP_001358147; NP_001358140; NP_001358142; NP_001358143; NP_001349704; NP_116313; NP_001265213; NP_001305064
ENSP00000299687,ENSG00000215421,ZNF407,zf-C2H2,,NP_001371404; NP_060227
ENSP00000299871,ENSG00000121417,ZNF211,zf-C2H2,,NP_001309235; NP_001252526
ENSP00000300057,ENSG00000166823,MESP1,bHLH,NM_018670,NP_061140
ENSP00000300101,ENSG00000166860,ZBTB39,ZBTB,NM_014830,NP_055645
ENSP00000300134,ENSG00000166888,STAT6,STAT,NM_003153,NP_003144; NP_001171549
ENSP00000300181,ENSG00000166925,TSC22D4,TSC22,,NP_001289972; NP_112197
ENSP00000300619,ENSG00000167232,ZNF91,zf-C2H2,,NP_003421
ENSP00000300659,ENSG00000072736,NFATC3,RHD,,NP_775188
ENSP00000300850,ENSG00000167395,ZNF646,zf-C2H2,NM_014699,NP_055514
ENSP00000300870,ENSG00000185947,ZNF267,zf-C2H2,,NP_003405
ENSP00000301073,ENSG00000171443,ZNF524,zf-C2H2,,NP_694951
ENSP00000301093,ENSG00000167562,ZNF701,zf-C2H2,,XP_011525394; NP_001166126; NP_060730; 
ENSP00000301215,ENSG00000167625,ZNF526,zf-C2H2,NM_001314033,NP_001300962; NP_597701
ENSP00000301310,ENSG00000018869,ZNF582,zf-C2H2,,NP_653291
ENSP00000301318,ENSG00000196867,ZFP28,zf-C2H2,NM_020828,NP_065879
ENSP00000301399,ENSG00000161551,ZNF577,zf-C2H2,,NP_001357377; NP_116068; NP_001357386; NP_001357376
ENSP00000301459,ENSG00000167771,RCOR2,MYB,NM_001363648,NP_775858; NP_001350577
ENSP00000301480,ENSG00000198028,ZNF560,zf-C2H2,NM_001351678,NP_689689; NP_001338607
ENSP00000301547,ENSG00000180855,ZNF443,zf-C2H2,NM_005815,NP_005806
ENSP00000301727,ENSG00000167967,E4F1,zf-C2H2,NM_004424,NP_004415
ENSP00000301744,ENSG00000167981,ZNF597,zf-C2H2,NM_152457,NP_689670
ENSP00000301887,ENSG00000168062,BATF2,TF_bZIP,NM_001300808,NP_612465
ENSP00000301921,ENSG00000171056,SOX7,HMG,NM_031439,NP_113627
ENSP00000302189,ENSG00000171786,NHLH1,bHLH,NM_005598,NP_005589
ENSP00000302216,ENSG00000172238,ATOH1,bHLH,NM_005172,NP_005163
ENSP00000302222,ENSG00000175395,ZNF25,zf-C2H2,NM_001329652,NP_001316589; NP_001316577; NP_001316585; NP_001316586; NP_001316588; NP_001316593; NP_001316578; NP_001316584; NP_001316576; NP_001316587; NP_001316579; NP_001316590; NP_659448; NP_001316580; NP_001316591; NP_001316581; NP_001316582; NP_001316583; NP_001316592
ENSP00000302251,ENSG00000168505,GBX2,Homeobox,NM_001485,NP_001476
ENSP00000302455,ENSG00000186272,ZNF17,zf-C2H2,,NP_001317546
ENSP00000302456,ENSG00000169926,KLF13,zf-C2H2,NM_015995,NP_057079
ENSP00000302485,ENSG00000172346,CSDC2,CSD,NM_014460,NP_055275
ENSP00000302548,ENSG00000170166,HOXD4,Homeobox,NM_014621,NP_055436
ENSP00000302603,ENSG00000172000,ZNF556,zf-C2H2,,NP_079243
ENSP00000302630,ENSG00000169856,ONECUT1,CUT,NM_004498,NP_004489
ENSP00000302640,ENSG00000108312,UBTF,HMG,NM_001076683,XP_016880493; ; XP_016880489; XP_006722124; XP_016880485; XP_016880491; XP_016880487; XP_016880488; NP_001070151; XP_006722122; XP_024306675; NP_055048; XP_006722123; XP_016880484; XP_016880486; XP_016880490; XP_016880492; NP_001070152
ENSP00000302756,ENSG00000184492,FOXD4L1,Fork_head,NM_012184,NP_036316
ENSP00000302770,ENSG00000170684,ZNF296,zf-C2H2,NM_145288,NP_660331
ENSP00000302814,ENSG00000171540,OTP,Homeobox,NM_032109,NP_115485
ENSP00000302855,ENSG00000169548,ZNF280A,TF_others,NM_080740,NP_542778
ENSP00000303315,ENSG00000171223,JUNB,TF_bZIP,NM_002229,NP_002220
ENSP00000303533,ENSG00000197008,ZNF138,zf-C2H2,NM_001271640,NP_001258568; NP_001354501
ENSP00000303599,ENSG00000172468,HSFY1,HSF,NM_033108,NP_149099
ENSP00000303889,ENSG00000168661,ZNF30,zf-C2H2,NM_001099437,NP_001092907
ENSP00000303915,ENSG00000171469,ZNF561,zf-C2H2,,NP_689502
ENSP00000304004,ENSG00000170608,FOXA3,Fork_head,,NP_004488
ENSP00000304169,ENSG00000164093,PITX2,Homeobox,,
ENSP00000304268,ENSG00000189180,ZNF33A,zf-C2H2,NM_001278177,NP_001265102
ENSP00000304286,ENSG00000168269,FOXI1,Fork_head,NM_012188,NP_036320
ENSP00000304331,ENSG00000169840,GSX1,Homeobox,NM_145657,NP_663632
ENSP00000304502,ENSG00000170577,SIX2,Homeobox,NM_016932,NP_058628
ENSP00000304676,ENSG00000168874,ATOH8,bHLH,,NP_116216
ENSP00000304689,ENSG00000168286,THAP11,THAP,NM_020457,NP_065190
ENSP00000304769,ENSG00000181444,ZNF467,zf-C2H2,NM_001329856,NP_997219
ENSP00000305071,ENSG00000064490,RFXANK,TF_others,,NP_003712; NP_001357164
ENSP00000305077,ENSG00000171291,ZNF439,zf-C2H2,,NP_689475; NP_001335650; NP_001335651; NP_001335649; NP_001335652
ENSP00000305244,ENSG00000170549,IRX1,Homeobox,NM_024337,NP_077313
ENSP00000305343,ENSG00000168875,SOX14,HMG,NM_004189,NP_004180
ENSP00000305373,ENSG00000171295,ZNF440,zf-C2H2,NM_152357,NP_689570
ENSP00000305422,ENSG00000172216,CEBPB,TF_bZIP,NM_001285878,NP_001272808; NP_005185; NP_001272807
ENSP00000305426,ENSG00000166402,TUB,Tub,,NP_003311
ENSP00000305533,ENSG00000168152,THAP9,THAP,,NP_001304705; NP_078948
ENSP00000305769,ENSG00000170365,SMAD1,MH1,,NP_001341741; NP_001341742; NP_001341743; NP_005891; NP_001341740; NP_001341745
ENSP00000305973,ENSG00000198353,HOXC4,Homeobox,NM_014620,NP_055435
ENSP00000306245,ENSG00000170345,FOS,TF_bZIP,NM_005252,NP_005243
ENSP00000306335,ENSG00000087903,RFX2,RFX,NM_000635,NP_000626
ENSP00000306522,ENSG00000171735,CAMTA1,CG-1,NM_015215,NP_001336537; NP_001336539; NP_001336541; NP_001336538; NP_056030
ENSP00000306523,ENSG00000168348,INSM2,zf-C2H2,NM_032594,NP_115983
ENSP00000306549,ENSG00000169953,HSFY2,HSF,NM_001001877,NP_714927
ENSP00000306754,ENSG00000171532,NEUROD2,bHLH,,NP_006151
ENSP00000306756,ENSG00000171574,ZNF584,zf-C2H2,,NP_775819
ENSP00000306894,ENSG00000244405,ETV5,ETS,NM_004454,NP_004445
ENSP00000307023,ENSG00000172059,KLF11,zf-C2H2,,NP_003588
ENSP00000307041,ENSG00000169594,BNC1,zf-C2H2,NM_001301206,NP_001708
ENSP00000307321,ENSG00000180818,HOXC10,Homeobox,,NP_059105
ENSP00000307479,ENSG00000172379,ARNT2,bHLH,,NP_055677
ENSP00000307604,ENSG00000168795,ZBTB5,ZBTB,NM_014872,NP_055687
ENSP00000307746,ENSG00000168916,ZNF608,TF_others,,NP_001372550; NP_001372548
ENSP00000307774,ENSG00000196793,ZNF239,zf-C2H2,NM_005674,NP_005665
ENSP00000308022,ENSG00000173011,TADA2B,MYB,,NP_689506
ENSP00000308227,ENSG00000137309,HMGA1,HMGA,,NP_001306011; NP_001306009; NP_665906; NP_001306008
ENSP00000308578,ENSG00000196705,ZNF431,zf-C2H2,NM_001319126,NP_001306053; NP_001306056; NP_597730
ENSP00000308583,ENSG00000175279,CENPS,TF_others,NM_199294,NP_954988
ENSP00000308741,ENSG00000134852,CLOCK,bHLH,,XP_016864343; XP_016864344; NP_001254772; XP_011532713; XP_011532712; NP_004889; XP_005265844; XP_011532711; XP_024310052
ENSP00000308759,ENSG00000173276,ZBTB21,ZBTB,NM_001320729,NP_001091872
ENSP00000309007,ENSG00000174796,THAP6,THAP,,NP_653322
ENSP00000309161,ENSG00000196263,ZNF471,zf-C2H2,NM_020813,NP_001308697; NP_065864
ENSP00000309330,ENSG00000173041,ZNF680,zf-C2H2,NM_178558,NP_848653
ENSP00000309336,ENSG00000172789,HOXC5,Homeobox,NM_018953,NP_061826
ENSP00000309439,ENSG00000170689,HOXB9,Homeobox,NM_024017,NP_076922
ENSP00000309570,ENSG00000118263,KLF7,zf-C2H2,NM_003709,NP_003700
ENSP00000309606,ENSG00000175213,ZNF408,zf-C2H2,NM_001184751,NP_079017; NP_001171680
ENSP00000309790,ENSG00000129534,MIS18BP1,MYB,NM_018353,NP_060823
ENSP00000309823,ENSG00000137166,FOXP4,Fork_head,NM_001012426,NP_001012426
ENSP00000309826,ENSG00000106459,NRF1,Nrf1,,NP_001280092
ENSP00000309913,ENSG00000089225,TBX5,T-box,NM_181486,NP_000183
ENSP00000310006,ENSG00000174738,NR1D2,THR-like,NM_005126,NP_005117; NP_001138897
ENSP00000310033,ENSG00000172748,ZNF596,zf-C2H2,,NP_001274328; NP_775810
ENSP00000310042,ENSG00000173545,ZNF622,zf-C2H2,NM_033414,NP_219482
ENSP00000310170,ENSG00000175592,FOSL1,TF_bZIP,NM_001300856,NP_001287785; NP_005429
ENSP00000310301,ENSG00000172845,SP3,zf-C2H2,,NP_001166183; NP_003102
ENSP00000310472,ENSG00000197566,ZNF624,zf-C2H2,NM_020787,NP_065838
ENSP00000310796,ENSG00000173451,THAP2,THAP,NM_031435,NP_113623
ENSP00000310928,ENSG00000112033,PPARD,THR-like,NM_006238,NP_001165289
ENSP00000311010,ENSG00000135374,ELF5,ETS,NM_001422,NP_938195
ENSP00000311183,ENSG00000174586,ZNF497,zf-C2H2,NM_001207009,NP_940860; NP_001193938
ENSP00000311196,ENSG00000174576,NPAS4,bHLH,,NP_001305733; NP_849195
ENSP00000311290,ENSG00000175325,PROP1,Homeobox,NM_006261,NP_006252
ENSP00000311319,ENSG00000173480,ZNF417,zf-C2H2,,NP_689688
ENSP00000311521,ENSG00000188033,ZNF490,zf-C2H2,NM_020714,NP_065765
ENSP00000311679,ENSG00000173258,ZNF483,zf-C2H2,NM_001007169,NP_597721
ENSP00000311816,ENSG00000084093,REST,zf-C2H2,,NP_001180437; NP_005603
ENSP00000312385,ENSG00000174279,EVX2,Homeobox,NM_001080458,NP_001073927
ENSP00000312436,ENSG00000123405,NFE2,TF_bZIP,NM_006163,NP_006154
ENSP00000312617,ENSG00000066136,NFYC,NF-YC,,NP_001295043
ENSP00000312631,ENSG00000173404,INSM1,zf-C2H2,NM_002196,NP_002187
ENSP00000312834,ENSG00000175727,MLXIP,bHLH,NM_014938,NP_055753
ENSP00000312987,ENSG00000101076,HNF4A,RXR-like,NM_001287183,NP_000448; NP_001245284
ENSP00000313158,ENSG00000178175,ZNF366,zf-C2H2,NM_152625,NP_689838
ENSP00000313243,ENSG00000176160,HSF5,HSF,NM_001080439,NP_001073908
ENSP00000313258,ENSG00000118156,ZNF541,zf-C2H2,NM_001277075,XP_011525673; XP_011525676; XP_011525677; XP_016882840; ; XP_011525672; NP_001264004; XP_011525671; XP_011525670; XP_011525674; XP_005259368; XP_005259371; XP_011525675
ENSP00000313443,ENSG00000177599,ZNF491,zf-C2H2,,NP_689569
ENSP00000313582,ENSG00000125945,ZNF436,zf-C2H2,NM_001370652,NP_001357581; NP_001070663
ENSP00000313601,ENSG00000132024,CC2D1A,TF_others,NM_017721,NP_060191
ENSP00000314080,ENSG00000177374,HIC1,ZBTB,,NP_001091672
ENSP00000314129,ENSG00000068323,TFE3,bHLH,,NP_001269071; NP_006512
ENSP00000314153,ENSG00000177485,ZBTB33,ZBTB,NM_006777,NP_006768
ENSP00000314480,ENSG00000164853,UNCX,Homeobox,NM_001080461,NP_001073930
ENSP00000314655,ENSG00000157514,TSC22D3,TSC22,NM_001015881,NP_001305397
ENSP00000314709,ENSG00000178764,ZHX2,Homeobox,NM_001362797,NP_001349726; NP_055758
ENSP00000314806,ENSG00000176302,FOXR1,Fork_head,NM_181721,NP_859072
ENSP00000315173,ENSG00000147124,ZNF41,zf-C2H2,NM_001324143,NP_009061; NP_001311072
ENSP00000315198,ENSG00000171476,HOPX,Homeobox,NM_032495,NP_631957
ENSP00000315417,ENSG00000180318,ALX1,Homeobox,NM_006982,NP_008913
ENSP00000315505,ENSG00000181666,HKR1,zf-C2H2,,NP_861451
ENSP00000315768,ENSG00000170581,STAT2,STAT,,NP_001372042; NP_001372043; NP_005410
ENSP00000315949,ENSG00000175879,HOXD8,Homeobox,NM_001199747,NP_062458
ENSP00000316527,ENSG00000180357,ZNF609,TF_others,,NP_055857
ENSP00000316842,ENSG00000177045,SIX5,Homeobox,NM_175875,NP_787071
ENSP00000316950,ENSG00000104177,MYEF2,TF_others,NM_016132,NP_057216
ENSP00000317125,ENSG00000213967,ZNF726,zf-C2H2,NM_001348688,NP_001335618; NP_001335616; ; NP_001335617; NP_001230967
ENSP00000317333,ENSG00000178403,NEUROG2,bHLH,NM_024019,NP_076924
ENSP00000317534,ENSG00000177125,ZBTB34,ZBTB,,NP_001382127; NP_001092740; XP_011517001; ; XP_005252046
ENSP00000317580,ENSG00000181965,NEUROG1,bHLH,NM_006161,NP_006152
ENSP00000317614,ENSG00000178163,ZNF518B,zf-C2H2,NM_001375817,NP_001362746; NP_444270; NP_001362745
ENSP00000318057,ENSG00000179388,EGR3,zf-C2H2,NM_004430,NP_004421
ENSP00000318085,ENSG00000172273,HINFP,zf-C2H2,NM_001351958,NP_001338888; NP_001338893; NP_001338903; NP_001338886; NP_001338887; NP_001338892; NP_001338900; NP_001338889; NP_001338901; NP_056332; NP_001338894; NP_001338895; NP_945322; NP_001338898
ENSP00000318373,ENSG00000163795,ZNF513,zf-C2H2,NM_001201459,NP_653232
ENSP00000318502,ENSG00000176679,TGIF2LY,Homeobox,NM_139214,NP_631960
ENSP00000318690,ENSG00000005436,GCFC2,GCFC,,NP_003194; NP_001188263
ENSP00000318799,ENSG00000180828,BHLHE22,bHLH,NM_152414,NP_689627
ENSP00000319053,ENSG00000175691,ZNF77,zf-C2H2,NM_021217,NP_067040
ENSP00000319118,ENSG00000180613,GSX2,Homeobox,,NP_573574
ENSP00000319305,ENSG00000180938,ZNF572,zf-C2H2,NM_152412,NP_689625
ENSP00000319651,ENSG00000176399,DMRTA1,DM,NM_022160,NP_071443
ENSP00000319716,ENSG00000181896,ZNF101,zf-C2H2,,XP_024307554; XP_024307555; NP_149981; XP_024307553; NP_001287878
ENSP00000319974,ENSG00000114439,BBX,HMG,NM_020235,NP_001136040
ENSP00000320050,ENSG00000213015,ZNF580,zf-C2H2,,NP_996998
ENSP00000320089,ENSG00000180053,NKX2-6,Homeobox,NM_001136271,NP_001129743
ENSP00000320096,ENSG00000179922,ZNF784,zf-C2H2,NM_203374,NP_976308
ENSP00000320188,ENSG00000218891,ZNF579,zf-C2H2,NM_152600,NP_689813
ENSP00000320347,ENSG00000180787,ZFP3,zf-C2H2,NM_153018,NP_694563
ENSP00000320447,ENSG00000177463,NR2C2,RXR-like,,NP_003289
ENSP00000320485,ENSG00000117713,ARID1A,ARID,,NP_006006
ENSP00000320886,ENSG00000009950,MLXIPL,bHLH,,NP_116569
ENSP00000321049,ENSG00000131115,ZNF227,zf-C2H2,,NP_872296; NP_001276095
ENSP00000321132,ENSG00000172006,ZNF554,zf-C2H2,NM_001102651,NP_001096121
ENSP00000321370,ENSG00000177494,ZBED2,zf-BED,NM_024508,NP_078784
ENSP00000321445,ENSG00000178860,MSC,bHLH,NM_005098,NP_005089
ENSP00000321684,ENSG00000005102,MEOX1,Homeobox,NM_004527,NP_004518
ENSP00000321812,ENSG00000152443,ZNF776,zf-C2H2,NM_173632,NP_001334936; NP_775903
ENSP00000321835,ENSG00000175832,ETV4,ETS,NM_001079675,NP_001073143
ENSP00000321848,ENSG00000083814,ZNF671,zf-C2H2,,NP_001308305; NP_079109; NP_001308304
ENSP00000321963,ENSG00000180532,ZSCAN4,zf-C2H2,,NP_689890
ENSP00000322087,ENSG00000177551,NHLH2,bHLH,NM_005599,NP_005590; NP_001104531
ENSP00000322265,ENSG00000177842,ZNF620,zf-C2H2,,NP_787084
ENSP00000322361,ENSG00000130856,ZNF236,zf-C2H2,NM_001306089,NP_001293018
ENSP00000322427,ENSG00000213020,ZNF611,zf-C2H2,,NP_112234
ENSP00000322545,ENSG00000178229,ZNF543,zf-C2H2,NM_213598,NP_998763
ENSP00000322568,ENSG00000176887,SOX11,HMG,NM_003108,NP_003099
ENSP00000322872,ENSG00000196652,ZKSCAN5,zf-C2H2,NM_001318082,NP_001305011; NP_001305012; NP_659570
ENSP00000322898,ENSG00000164330,EBF1,COE,,NP_001351087; NP_001277289; NP_001311036; NP_001311037; NP_001351088; NP_076870; NP_001351086; NP_001311030; NP_001311035; NP_001311040; NP_001351085; NP_001311032
ENSP00000323148,ENSG00000106261,ZKSCAN1,zf-C2H2,NM_001346579,NP_001333508; NP_001333510; NP_003430
ENSP00000323183,ENSG00000181472,ZBTB2,ZBTB,NM_020861,NP_065912
ENSP00000323246,ENSG00000165891,E2F7,E2F,NM_203394,NP_976328
ENSP00000323588,ENSG00000181449,SOX2,HMG,NM_003106,NP_003097
ENSP00000323670,ENSG00000178951,ZBTB7A,ZBTB,NM_015898,NP_056982
ENSP00000323816,ENSG00000063438,AHRR,bHLH,,NP_001364168
ENSP00000323880,ENSG00000129654,FOXJ1,Fork_head,NM_001454,NP_001445
ENSP00000323945,ENSG00000179965,ZNF771,zf-C2H2,,NP_001135777; NP_057727
ENSP00000323967,ENSG00000073584,SMARCE1,HMG,NM_003079,NP_003070
ENSP00000324056,ENSG00000180035,ZNF48,zf-C2H2,,NP_689865
ENSP00000324064,ENSG00000177932,ZNF354C,zf-C2H2,NM_014594,NP_055409
ENSP00000324441,ENSG00000167554,ZNF610,zf-C2H2,NM_001161426,NP_001154898
ENSP00000324605,ENSG00000144792,ZNF660,zf-C2H2,,NP_775929
ENSP00000324693,ENSG00000134317,GRHL1,CP2,,NP_937825
ENSP00000325120,ENSG00000082175,PGR,ESR-like,NM_000926,NP_000917; NP_001189403
ENSP00000325326,ENSG00000198026,ZNF335,zf-C2H2,NM_022095,NP_071378
ENSP00000325546,ENSG00000181690,PLAG1,zf-C2H2,NM_001114634,NP_001108106; NP_002646
ENSP00000325819,ENSG00000175745,NR2F1,RXR-like,NM_005654,NP_005645
ENSP00000326200,ENSG00000066422,ZBTB11,ZBTB,NM_014415,NP_055230
ENSP00000326240,ENSG00000085274,MYNN,ZBTB,NM_001185118,NP_061127; NP_001172047
ENSP00000326249,ENSG00000178187,ZNF454,zf-C2H2,NM_182594,NP_872400; NP_001310239; NP_001310238; NP_001171561
ENSP00000326272,ENSG00000176678,FOXL1,Fork_head,,NP_005241
ENSP00000326371,ENSG00000176692,FOXC2,Fork_head,NM_005251,
ENSP00000326391,ENSG00000180535,BHLHA15,bHLH,NM_177455,NP_803238
ENSP00000326581,ENSG00000198300,PEG3,zf-C2H2,NM_001369717,NP_006201; NP_001139656; NP_001356646; NP_001356647
ENSP00000326630,ENSG00000179588,ZFPM1,zf-C2H2,NM_153813,NP_722520
ENSP00000327025,ENSG00000143365,RORC,THR-like,NM_001001523,NP_005051
ENSP00000327048,ENSG00000178573,MAF,TF_bZIP,,NP_005351
ENSP00000327143,ENSG00000178338,ZNF354B,zf-C2H2,NM_058230,NP_478137
ENSP00000327538,ENSG00000198633,ZNF534,zf-C2H2,NM_001291368,NP_001137411
ENSP00000327758,ENSG00000183072,NKX2-5,Homeobox,NM_004387,NP_004378
ENSP00000327959,ENSG00000177426,TGIF1,Homeobox,,NP_001361325; NP_733796
ENSP00000327968,ENSG00000185669,SNAI3,zf-C2H2,NM_178310,NP_840101
ENSP00000328245,ENSG00000197951,ZNF71,zf-C2H2,NM_001370215,NP_001357143; NP_067039
ENSP00000328269,ENSG00000064961,HMG20B,HMG,,NP_006330
ENSP00000328364,ENSG00000182759,MAFA,TF_bZIP,,NP_963883
ENSP00000328515,ENSG00000185730,ZNF696,zf-C2H2,,NP_112157
ENSP00000328596,ENSG00000184302,SIX6,Homeobox,NM_007374,NP_031400
ENSP00000328598,ENSG00000128645,HOXD1,Homeobox,NM_024501,NP_078777
ENSP00000328720,ENSG00000164916,FOXK1,Fork_head,NM_001037165,NP_001032242
ENSP00000328928,ENSG00000182742,HOXB4,Homeobox,NM_024015,NP_076920
ENSP00000328992,ENSG00000159086,PAXBP1,GCFC,NM_016631,NP_057715
ENSP00000329140,ENSG00000182158,CREB3L2,TF_bZIP,NM_194071,NP_919047; NP_001305175
ENSP00000329170,ENSG00000184486,POU3F2,Pou,NM_005604,NP_005595
ENSP00000329264,ENSG00000182983,ZNF662,zf-C2H2,NM_207404,NP_001128128
ENSP00000329357,ENSG00000185591,SP1,zf-C2H2,,NP_001238754; NP_612482
ENSP00000329411,ENSG00000185507,IRF7,IRF,,NP_004022
ENSP00000329738,ENSG00000186814,ZSCAN30,zf-C2H2,NM_001112734,NP_001106205
ENSP00000329793,ENSG00000105750,ZNF85,zf-C2H2,,NP_003420
ENSP00000330190,ENSG00000184271,POU6F1,Pou,,NP_001317351
ENSP00000330218,ENSG00000182968,SOX1,HMG,NM_005986,NP_005977
ENSP00000330838,ENSG00000196456,ZNF775,zf-C2H2,,NP_775951
ENSP00000331152,ENSG00000119950,MXI1,bHLH,NM_130439,NP_569157
ENSP00000331327,ENSG00000184937,WT1,zf-C2H2,NM_001198551,NP_000369
ENSP00000331462,ENSG00000164684,ZNF704,TF_others,NM_001033723,NP_001028895; NP_001354712
ENSP00000331470,ENSG00000185610,DBX2,Homeobox,NM_001004329,NP_001004329
ENSP00000331577,ENSG00000186812,ZNF397,zf-C2H2,,NP_001128650
ENSP00000331608,ENSG00000177508,IRX3,Homeobox,NM_024336,NP_077312
ENSP00000331614,ENSG00000185811,IKZF1,zf-C2H2,,NP_006051
ENSP00000331626,ENSG00000155592,ZKSCAN2,zf-C2H2,NM_001012981,NP_001012999
ENSP00000331741,ENSG00000173917,HOXB2,Homeobox,,NP_002136
ENSP00000331791,ENSG00000184058,TBX1,T-box,NM_080647,NP_542378
ENSP00000331927,ENSG00000198556,ZNF789,zf-C2H2,,NP_001337933; NP_001337931; NP_001337928; NP_001337929; NP_998768
ENSP00000332013,ENSG00000197114,ZGPAT,TF_others,NM_001083113,NP_115916
ENSP00000332171,ENSG00000135164,DMTF1,MYB,NM_001142327,NP_001135799
ENSP00000332208,ENSG00000185002,RFX6,RFX,,NP_775831
ENSP00000332293,ENSG00000183734,ASCL2,bHLH,NM_005170,NP_005161
ENSP00000332296,ENSG00000077092,RARB,THR-like,NM_001290216,NP_000956; NP_001277195; NP_001277206; NP_001277229
ENSP00000332433,ENSG00000182318,ZSCAN22,zf-C2H2,NM_181846,NP_001308045; NP_862829; NP_001308046
ENSP00000332595,ENSG00000146757,ZNF92,zf-C2H2,NM_152626,NP_689839
ENSP00000332706,ENSG00000185129,PURA,TF_others,,NP_005850
ENSP00000332744,ENSG00000052850,ALX4,Homeobox,NM_021926,
ENSP00000332861,ENSG00000183647,ZNF530,zf-C2H2,NM_001387563,NP_065931; NP_001374491; NP_001374492
ENSP00000332973,ENSG00000166949,SMAD3,MH1,,NP_005893
ENSP00000333097,ENSG00000183733,FIGLA,bHLH,NM_001004311,NP_001004311
ENSP00000333122,ENSG00000119508,NR4A3,NGFIB-like,NM_173199,XP_016870651; NP_775291; ; NP_008912; NP_775292
ENSP00000333188,ENSG00000183770,FOXL2,Fork_head,NM_023067,
ENSP00000333223,ENSG00000197016,ZNF470,zf-C2H2,NM_001001668,NP_001001668
ENSP00000333275,ENSG00000120798,NR2C1,RXR-like,NM_003297,NP_003288
ENSP00000333633,ENSG00000182979,MTA1,zf-GATA,NM_004689,NP_004680
ENSP00000333725,ENSG00000198393,ZNF26,zf-C2H2,,NP_001317442; NP_001317443; NP_001243209; NP_062537
ENSP00000333776,ENSG00000185177,ZNF479,zf-C2H2,NM_033273,NP_150376
ENSP00000333802,ENSG00000153896,ZNF599,zf-C2H2,NM_001007248,NP_001007249
ENSP00000333920,ENSG00000125482,TTF1,MYB,NM_007344,NP_031370
ENSP00000333980,ENSG00000186230,ZNF749,zf-C2H2,NM_001321952,NP_001308881; NP_001018855; NP_001308882
ENSP00000334294,ENSG00000101190,TCFL5,bHLH,NM_006602,NP_006593; NP_001288655
ENSP00000334472,ENSG00000186790,FOXE3,Fork_head,NM_012186,NP_036318
ENSP00000334474,ENSG00000108175,ZMIZ1,zf-MIZ,NM_020338,NP_065071
ENSP00000334501,ENSG00000184911,DMRTC1B,TF_others,,NP_001373901
ENSP00000334547,ENSG00000186051,TAL2,bHLH,NM_005421,NP_005412
ENSP00000334685,ENSG00000198453,ZNF568,zf-C2H2,,NP_001191764; NP_940941
ENSP00000334813,ENSG00000134438,RAX,Homeobox,,NP_038463
ENSP00000334853,ENSG00000186300,ZNF555,zf-C2H2,,NP_690004
ENSP00000335042,ENSG00000256229,ZNF486,zf-C2H2,,NP_443084
ENSP00000335044,ENSG00000189079,ARID2,ARID,NM_152641,NP_689854
ENSP00000335191,ENSG00000167800,TBX10,T-box,NM_005995,NP_005986
